company_name,industry,job_title,skills_required,experience_level,employment_type,location,posted_date,company_size,tools_preferred,salary_min,salary_max
Salazar-Clark,Retail,Quant Researcher,"Reinforcement Learning, AWS, Azure, Pandas, Keras, Power BI",Entry,Full-time,"New Samanthaport, MC",2024-03-21,Mid,"TensorFlow, BigQuery",72489,167549
Jones-Simpson,E-commerce,Computer Vision Engineer,"TensorFlow, CUDA, MLflow",Senior,Internship,"Charlottechester, BZ",2023-11-08,Mid,"TensorFlow, BigQuery",140658,230833
Johnson-Jackson,Finance,Data Scientist,"R, MLflow, Reinforcement Learning, Azure",Entry,Remote,"Lake Meganborough, MX",2025-07-06,Large,"TensorFlow, KDB+",130536,167334
Lane-Rodriguez,Finance,Quant Researcher,"Scikit-learn, Excel, Azure, Flask, Hugging Face, Pandas",Senior,Full-time,"South Katherine, DE",2024-03-30,Startup,"PyTorch, LangChain, KDB+",81950,133686
"Jones, Thompson and Gomez",Education,Quant Researcher,"Power BI, Hugging Face, GCP",Senior,Contract,"West Gregorychester, ET",2024-05-04,Large,Scikit-learn,134169,173479
"Ho, Mitchell and King",Automotive,ML Engineer,"NumPy, LangChain, R, Scikit-learn",Senior,Contract,"Port Carolineside, SG",2025-03-16,Large,TensorFlow,95581.5,151635
Mathis-Davila,Tech,Quant Researcher,"SQL, Hugging Face, Keras, AWS, MLflow, R",Mid,Internship,"West Bethchester, HR",2024-10-13,Startup,"LangChain, PyTorch, FastAPI",94799,136985
Perez-Hawkins,Automotive,Computer Vision Engineer,"Pandas, Hugging Face, Keras",Mid,Internship,"New Frederickstad, NA",2025-07-28,Large,FastAPI,83771,94234
"Perez, Butler and Carroll",E-commerce,ML Engineer,"Excel, Hugging Face, SQL, Azure",Entry,Contract,"Lauraland, KZ",2025-04-29,Mid,KDB+,115058,174712
Ford PLC,E-commerce,Computer Vision Engineer,"FastAPI, Scikit-learn, Pandas, NumPy, Excel, CUDA",Mid,Contract,"East Robert, RS",2025-02-07,Mid,"Scikit-learn, KDB+, MLflow",119046,198687
Rivera Ltd,Retail,Computer Vision Engineer,"Python, PyTorch, Keras, Power BI, Reinforcement Learning",Senior,Remote,"West Bonnieville, CA",2024-03-16,Startup,BigQuery,76496,169636
Thompson-White,E-commerce,Computer Vision Engineer,"LangChain, TensorFlow, Pandas, Flask",Senior,Remote,"Coryfurt, KG",2025-01-02,Large,"FastAPI, MLflow",114726,166530
"Johnson, Foster and Martin",Education,NLP Engineer,"MLflow, CUDA, Power BI, FastAPI",Mid,Remote,"Smithfurt, SB",2023-10-22,Startup,"FastAPI, BigQuery",87007,185082
Solomon-Hartman,Finance,Data Analyst,"Pandas, Azure, Keras, PyTorch, AWS, Hugging Face",Mid,Remote,"West Christopherfort, GM",2024-08-24,Startup,"BigQuery, KDB+",101003,168211
"Kelley, Adams and Robertson",Automotive,ML Engineer,"Hugging Face, SQL, TensorFlow",Entry,Full-time,"Port James, LY",2024-08-13,Mid,"Scikit-learn, BigQuery",123063,188735
Johnson-Cabrera,Healthcare,ML Engineer,"TensorFlow, PyTorch, FastAPI, Hugging Face, LangChain, AWS",Entry,Contract,"South Bryanberg, GD",2024-05-12,Large,"TensorFlow, PyTorch, LangChain",43723,55609
"Love, Liu and Flynn",Tech,Quant Researcher,"Excel, LangChain, MLflow, CUDA, Reinforcement Learning",Entry,Full-time,"Matthewshire, FR",2025-03-25,Startup,MLflow,62280,142270
Mcdonald and Sons,Retail,Quant Researcher,"TensorFlow, AWS, Azure",Senior,Remote,"Villanuevaberg, KM",2025-05-01,Startup,"FastAPI, LangChain, PyTorch",122800,196570
Le Ltd,Finance,AI Product Manager,"R, TensorFlow, C++, Hugging Face, SQL, Flask",Entry,Internship,"South Ginachester, TV",2024-03-08,Startup,"KDB+, BigQuery",95581.5,151635
Larson-Moss,Healthcare,AI Product Manager,"C++, Reinforcement Learning, NumPy, LangChain",Mid,Internship,"South Williamfurt, BB",2023-10-13,Large,FastAPI,92256,151389
"Farmer, Thompson and Smith",Healthcare,ML Engineer,"Flask, SQL, PyTorch, C++, TensorFlow",Mid,Full-time,"New Daniel, KP",2023-12-30,Large,KDB+,62733,72920
Burns-Davis,Healthcare,NLP Engineer,"Python, AWS, NumPy, Power BI, Hugging Face",Senior,Internship,"Nicholasshire, PH",2024-01-03,Large,"FastAPI, LangChain",44536,65243
Scott-Hernandez,Retail,ML Engineer,"CUDA, Keras, TensorFlow, Scikit-learn",Senior,Full-time,"Freemanland, GD",2025-03-31,Startup,BigQuery,117848,182284
Lozano-Valencia,E-commerce,Data Scientist,"LangChain, AWS, Scikit-learn, Flask",Entry,Internship,"Kelseybury, US",2024-03-22,Startup,"BigQuery, KDB+",126486,160422
Watkins-Pearson,Finance,Quant Researcher,"R, SQL, Hugging Face, Keras, Pandas",Mid,Remote,"East Rhondaview, IL",2024-09-04,Large,"TensorFlow, BigQuery, LangChain",47182,68293
Lewis Inc,Finance,Data Scientist,"Hugging Face, Pandas, PyTorch, SQL, R, Excel",Senior,Full-time,"Lake Anthony, MN",2024-02-15,Startup,"LangChain, TensorFlow",95581.5,151635
"Moreno, Salazar and Sexton",Finance,Data Scientist,"Power BI, Hugging Face, TensorFlow",Mid,Internship,"North Johnstad, TZ",2025-01-29,Startup,"MLflow, Scikit-learn",80727,158409
Lopez Ltd,Tech,AI Researcher,"Power BI, R, GCP",Entry,Full-time,"East Deborahshire, DZ",2025-05-19,Startup,PyTorch,95581.5,151635
Orozco-Tran,Retail,Quant Researcher,"Reinforcement Learning, Excel, TensorFlow, AWS, C++",Mid,Internship,"Kevinton, ZW",2024-01-09,Large,"KDB+, MLflow, TensorFlow",144070,166802
Allen-Miller,Education,AI Researcher,"Hugging Face, Power BI, SQL, Pandas, Reinforcement Learning",Entry,Contract,"Elijahshire, BJ",2025-08-06,Large,Scikit-learn,52942,108682
"Ray, Phillips and Kim",Automotive,NLP Engineer,"PyTorch, Reinforcement Learning, R, NumPy",Mid,Internship,"West Shellymouth, TG",2024-07-08,Large,"FastAPI, PyTorch",113035,170507
Rodriguez-Williams,Automotive,Data Scientist,"MLflow, C++, SQL",Mid,Internship,"New Jenniferfort, YE",2024-11-16,Startup,MLflow,132860,175653
Randall-Sanchez,Tech,Data Scientist,"MLflow, Azure, GCP, Flask, AWS",Mid,Contract,"West Julieland, CO",2024-12-26,Mid,LangChain,117504,216279
"Mendoza, Chung and Burnett",E-commerce,Computer Vision Engineer,"Python, PyTorch, R, LangChain",Mid,Remote,"New Jacob, KG",2024-09-20,Large,TensorFlow,119974,214225
Odom PLC,Healthcare,NLP Engineer,"TensorFlow, Python, CUDA",Senior,Contract,"South Jacobshire, BE",2025-07-09,Mid,"PyTorch, MLflow",89679,162956
"Miller, Jimenez and Walker",Education,Computer Vision Engineer,"C++, Pandas, Hugging Face, SQL, LangChain, Python",Senior,Internship,"Lake Patriciaview, LY",2024-09-29,Mid,MLflow,92350,190209
Valdez-Williams,Automotive,ML Engineer,"NumPy, AWS, Excel",Mid,Contract,"Port Charles, BE",2024-05-19,Large,TensorFlow,100745,156193
"Rodriguez, West and Erickson",Tech,ML Engineer,"PyTorch, Reinforcement Learning, FastAPI, R, C++",Entry,Full-time,"Lake Joshuastad, QA",2024-05-01,Startup,BigQuery,144980,238642
Church-Young,Automotive,Data Analyst,"Keras, LangChain, CUDA",Mid,Contract,"West Paulshire, PE",2025-05-17,Startup,"FastAPI, Scikit-learn, TensorFlow",43750,143665
Ramirez PLC,Healthcare,AI Researcher,"GCP, PyTorch, Flask",Entry,Full-time,"East Jason, IL",2024-02-14,Mid,"MLflow, KDB+, LangChain",123991,140802
Simmons PLC,Automotive,AI Researcher,"AWS, Excel, R",Entry,Internship,"Peterland, IL",2024-02-18,Mid,MLflow,95581.5,151635
"Miller, Simmons and Johnson",Healthcare,Computer Vision Engineer,"FastAPI, LangChain, SQL, TensorFlow, R",Mid,Remote,"Obrienshire, UZ",2024-04-11,Startup,BigQuery,40493,78657
"Stevens, Ball and Tyler",Automotive,Data Analyst,"Keras, LangChain, R, MLflow, Azure, TensorFlow",Senior,Internship,"Dennischester, BH",2024-08-19,Mid,"TensorFlow, BigQuery, LangChain",123525,145590
"Hunt, Scott and Schneider",Retail,Quant Researcher,"SQL, R, Keras",Entry,Remote,"Jessicaside, CH",2024-10-12,Large,"KDB+, MLflow",48593,83543
"Wright, Diaz and Rosario",Education,AI Product Manager,"Power BI, CUDA, Scikit-learn",Entry,Remote,"East Bernardfurt, CY",2025-03-13,Startup,"MLflow, PyTorch",84439,138226
"Dean, Reid and Johnson",Finance,AI Researcher,"AWS, CUDA, GCP, Scikit-learn, Azure",Mid,Internship,"Santostown, TL",2024-07-17,Large,"Scikit-learn, KDB+",132748,206860
"Rose, Simon and Cruz",Education,Quant Researcher,"SQL, Hugging Face, Azure, C++, Keras, Flask",Senior,Contract,"Haasview, PY",2025-09-01,Mid,KDB+,127247,153167
Russo Inc,Automotive,Quant Researcher,"Excel, Power BI, GCP, CUDA, PyTorch, Keras",Mid,Contract,"Munozside, MA",2025-08-21,Mid,Scikit-learn,72261,141735
"Short, Hodge and Castillo",Tech,Data Analyst,"Keras, C++, Scikit-learn, Flask, PyTorch, Pandas",Mid,Internship,"Lake Jasonville, LV",2024-02-01,Mid,"MLflow, PyTorch",95581.5,151635
Bauer Group,E-commerce,AI Product Manager,"TensorFlow, Power BI, Reinforcement Learning, NumPy, CUDA, Excel",Mid,Remote,"South Jaredview, PW",2024-02-02,Startup,"LangChain, Scikit-learn, FastAPI",116697,174967
Petty PLC,Retail,Computer Vision Engineer,"Python, Azure, R, TensorFlow, GCP",Entry,Remote,"Castrobury, ES",2024-07-18,Startup,"MLflow, BigQuery, Scikit-learn",46832,131794
Stuart and Sons,Healthcare,Data Scientist,"Hugging Face, C++, PyTorch, Reinforcement Learning, TensorFlow",Mid,Internship,"Lake Randychester, TR",2025-03-04,Large,"PyTorch, BigQuery",135983,151535
"Barker, Monroe and Ortega",Education,AI Product Manager,"Reinforcement Learning, GCP, NumPy",Senior,Full-time,"Robertsonfort, MU",2023-11-27,Large,"Scikit-learn, TensorFlow, BigQuery",86380,119826
Chambers-Santiago,Finance,AI Product Manager,"Reinforcement Learning, NumPy, Scikit-learn",Entry,Contract,"Halefurt, JO",2023-10-17,Large,"LangChain, BigQuery",97354,192951
Nolan-Brown,E-commerce,Quant Researcher,"PyTorch, Hugging Face, GCP, Flask",Mid,Full-time,"Karenville, GA",2024-06-16,Large,Scikit-learn,130041,148947
"Cox, Fitzgerald and Wong",Finance,Data Scientist,"R, FastAPI, AWS",Mid,Internship,"Davidtown, ID",2023-09-29,Large,"PyTorch, LangChain",98664,190980
Zhang-Williams,Automotive,Data Analyst,"MLflow, CUDA, C++",Entry,Contract,"East Henryfort, CA",2024-11-09,Large,"LangChain, TensorFlow",112236,163663
Henry-Grimes,Education,Data Scientist,"CUDA, AWS, NumPy, Azure, Power BI",Entry,Remote,"Port Biancachester, DE",2023-10-16,Large,"TensorFlow, Scikit-learn, FastAPI",89452,161968
"Garcia, Lowery and Alexander",Finance,AI Researcher,"Keras, NumPy, Python, AWS, Flask, Azure",Mid,Remote,"East Kennethfurt, MT",2024-01-04,Large,"Scikit-learn, LangChain",41836,115821
Turner PLC,Healthcare,Quant Researcher,"Azure, Flask, MLflow, GCP",Entry,Full-time,"East Sandrabury, TL",2025-03-08,Large,"PyTorch, KDB+",80778,94197
Davis LLC,Tech,AI Product Manager,"FastAPI, CUDA, R",Entry,Internship,"Sarahburgh, VA",2025-07-21,Mid,KDB+,68580,87181
Foster-Stephens,Education,Data Scientist,"AWS, CUDA, MLflow, Python",Senior,Internship,"Robinsonport, IQ",2025-08-10,Mid,"KDB+, PyTorch, FastAPI",41323,86336
"Ho, Scott and Martinez",Education,AI Product Manager,"Flask, SQL, PyTorch, Azure, AWS",Senior,Full-time,"Lyonsland, MK",2025-04-24,Startup,LangChain,127995,170331
Green PLC,Retail,Computer Vision Engineer,"C++, SQL, Python, MLflow, Power BI, FastAPI",Mid,Remote,"Gutierrezport, NO",2025-03-27,Large,LangChain,91343,143899
Hudson Group,E-commerce,Computer Vision Engineer,"CUDA, SQL, Keras, C++",Mid,Remote,"New Shawnberg, SE",2024-05-16,Mid,"FastAPI, Scikit-learn, TensorFlow",58872,121321
"Pham, Mathews and Gray",Automotive,AI Product Manager,"MLflow, TensorFlow, NumPy, Pandas",Mid,Remote,"South Crystalshire, FR",2023-10-30,Large,TensorFlow,59652,117331
"Saunders, Howell and Martinez",Healthcare,Computer Vision Engineer,"TensorFlow, NumPy, Pandas, PyTorch, Azure",Senior,Internship,"West Wandaside, KE",2024-08-14,Mid,"KDB+, FastAPI, Scikit-learn",64588,93067
King LLC,Automotive,Computer Vision Engineer,"FastAPI, Keras, CUDA, PyTorch, LangChain",Senior,Internship,"Ruizton, CI",2024-11-28,Startup,"BigQuery, MLflow",62963,73964
Anthony Group,Tech,NLP Engineer,"PyTorch, Azure, Reinforcement Learning, TensorFlow, Pandas, FastAPI",Mid,Contract,"Lisaborough, MG",2025-04-17,Startup,PyTorch,147083,198629
"Kim, Peterson and Schaefer",Automotive,AI Researcher,"GCP, MLflow, PyTorch",Entry,Contract,"Ericksonport, NZ",2025-07-02,Startup,"PyTorch, MLflow, LangChain",124727,213590
Parrish-Small,Retail,NLP Engineer,"Python, Flask, LangChain, AWS, Keras",Senior,Contract,"Perryland, MA",2025-08-05,Startup,"FastAPI, Scikit-learn, PyTorch",103756,181213
"Shaw, Myers and Smith",Finance,Data Scientist,"Azure, TensorFlow, C++",Mid,Full-time,"Brookeport, TV",2024-05-21,Startup,TensorFlow,97542,184959
Smith-Huynh,Automotive,ML Engineer,"Scikit-learn, Hugging Face, TensorFlow",Entry,Contract,"South Dawnfort, AE",2024-09-21,Startup,"TensorFlow, BigQuery",80381,97901
Cardenas-Williams,Education,Data Scientist,"Python, Azure, Reinforcement Learning, LangChain, AWS, Hugging Face",Senior,Remote,"West Michael, PW",2024-12-20,Startup,"LangChain, TensorFlow, KDB+",147604,186982
Davis Inc,Healthcare,Data Analyst,"MLflow, Python, TensorFlow, LangChain",Entry,Full-time,"Taylorland, PL",2024-12-27,Mid,"TensorFlow, PyTorch, KDB+",56981,90644
Davis-Hudson,Retail,Data Analyst,"GCP, Scikit-learn, Flask, AWS, Excel, Power BI",Entry,Remote,"South Thomasview, BR",2025-08-13,Mid,PyTorch,116148,184483
"Mcdonald, Carey and Cruz",Healthcare,AI Researcher,"TensorFlow, R, FastAPI, Pandas, Power BI",Mid,Internship,"Kingburgh, ER",2023-09-23,Large,"MLflow, Scikit-learn",49163,80743
Williams LLC,Healthcare,AI Product Manager,"Python, Hugging Face, Scikit-learn, GCP",Entry,Contract,"Jeremytown, GQ",2025-01-04,Large,"MLflow, KDB+",95581.5,151635
Cooper PLC,Education,Quant Researcher,"Azure, Pandas, TensorFlow, AWS",Mid,Remote,"Michaelbury, FM",2024-06-27,Large,"BigQuery, Scikit-learn, PyTorch",143486,177073
"Graham, Ramirez and Haas",Automotive,Data Analyst,"R, Reinforcement Learning, Scikit-learn, PyTorch, GCP",Entry,Remote,"East Tammy, SY",2024-10-08,Mid,"BigQuery, TensorFlow, FastAPI",141494,226122
"Lowe, Schmidt and Harris",Tech,NLP Engineer,"Excel, Hugging Face, AWS, TensorFlow, R, Power BI",Entry,Contract,"Dannyborough, MA",2025-07-22,Mid,TensorFlow,40667,138793
"Kemp, Young and Stewart",E-commerce,Computer Vision Engineer,"Python, Pandas, Excel, TensorFlow, Azure",Entry,Remote,"Tracyborough, CZ",2024-05-08,Startup,"TensorFlow, PyTorch",45587,114965
"Hodges, Allen and Washington",Automotive,Data Analyst,"PyTorch, Pandas, Reinforcement Learning",Mid,Contract,"Davidside, JO",2024-05-03,Mid,KDB+,50145,64920
Blair PLC,E-commerce,Data Analyst,"NumPy, Keras, PyTorch, TensorFlow, Flask, Excel",Senior,Contract,"Hernandezshire, LU",2024-11-06,Mid,"FastAPI, PyTorch, BigQuery",125963,141117
"Cruz, Patrick and King",E-commerce,AI Researcher,"R, TensorFlow, AWS",Mid,Remote,"Walshstad, KG",2025-04-26,Startup,"PyTorch, KDB+",117682,149820
"Rivers, Jones and Cameron",E-commerce,ML Engineer,"SQL, NumPy, Scikit-learn",Entry,Full-time,"Nelsonchester, NE",2024-11-02,Large,"TensorFlow, LangChain",108359,163658
Lindsey-Chan,Finance,AI Product Manager,"MLflow, Flask, Keras, Scikit-learn, LangChain",Entry,Contract,"Albertport, RW",2024-07-18,Mid,TensorFlow,46169,74675
Hess Inc,Healthcare,Data Analyst,"FastAPI, Excel, PyTorch, Flask, Reinforcement Learning",Mid,Remote,"East Kathrynchester, FJ",2024-08-26,Mid,"BigQuery, PyTorch, FastAPI",109531,131253
Williams Ltd,Retail,ML Engineer,"Hugging Face, GCP, Scikit-learn",Entry,Contract,"Lake Patrick, ST",2024-02-27,Mid,"Scikit-learn, PyTorch, LangChain",146291,220807
"Moore, Fields and Valdez",Tech,AI Product Manager,"SQL, Python, Excel, Flask",Entry,Contract,"Marcusstad, GT",2025-08-31,Mid,"TensorFlow, KDB+, BigQuery",60309,116090
Todd-Wright,Automotive,Data Scientist,"SQL, Keras, Pandas, GCP",Senior,Contract,"Port Thomas, IQ",2024-03-12,Startup,"FastAPI, KDB+",135243,196909
Morrison and Sons,E-commerce,ML Engineer,"CUDA, Power BI, AWS, FastAPI, C++",Senior,Internship,"Richardfurt, JM",2024-11-04,Mid,TensorFlow,141909,166648
"Barrett, Bennett and Stokes",Education,ML Engineer,"C++, CUDA, Azure",Entry,Internship,"New John, JP",2025-03-22,Startup,"LangChain, MLflow",110795,199925
"Jefferson, Orr and Gonzalez",Retail,NLP Engineer,"LangChain, GCP, Reinforcement Learning, Excel, FastAPI, Power BI",Mid,Remote,"Lake Matthewhaven, RO",2024-01-24,Large,"KDB+, PyTorch",97755,118149
"Davis, Chambers and Lee",Healthcare,Data Analyst,"Excel, Power BI, PyTorch, Hugging Face, R",Entry,Remote,"Davidton, VN",2024-02-02,Mid,"Scikit-learn, BigQuery, MLflow",141037,189383
Guerra-Hall,Healthcare,AI Product Manager,"GCP, Reinforcement Learning, Keras, Pandas",Entry,Remote,"New Ronald, PA",2024-09-24,Mid,FastAPI,128537,188005
Brooks Ltd,Healthcare,AI Product Manager,"Keras, FastAPI, C++, Hugging Face",Senior,Full-time,"West Elizabeth, DE",2025-02-05,Mid,"Scikit-learn, PyTorch",56606,106301
"Nolan, Jones and Nelson",Tech,ML Engineer,"Python, PyTorch, SQL, FastAPI",Mid,Contract,"Hillfurt, BO",2023-12-05,Startup,"MLflow, FastAPI, Scikit-learn",95581.5,151635
"Davidson, Walsh and Meyers",Finance,Data Analyst,"Keras, Python, Hugging Face, Flask",Senior,Internship,"Susanfort, IQ",2024-06-06,Mid,"TensorFlow, FastAPI",68706,105919
Burgess-Barrera,Finance,NLP Engineer,"Hugging Face, Azure, PyTorch, GCP",Senior,Internship,"Leebury, SC",2025-09-13,Large,FastAPI,107190,142210
Anderson LLC,Healthcare,ML Engineer,"TensorFlow, LangChain, Keras, Scikit-learn, Excel, C++",Entry,Contract,"South Briannafort, MZ",2024-01-22,Mid,MLflow,65172,119584
"Cameron, Carter and Smith",Healthcare,AI Researcher,"Scikit-learn, Azure, GCP",Mid,Full-time,"Blakebury, CL",2025-06-18,Large,"PyTorch, MLflow",58475,150927
Christensen LLC,Finance,AI Product Manager,"FastAPI, TensorFlow, Keras",Entry,Contract,"New Codystad, HU",2024-08-02,Large,MLflow,89065,169950
Clark-Dennis,Finance,NLP Engineer,"R, NumPy, Scikit-learn",Mid,Remote,"North Brianhaven, IT",2024-08-08,Large,"BigQuery, PyTorch",140046,166454
Obrien and Sons,Automotive,AI Researcher,"Python, MLflow, SQL",Mid,Internship,"North Joannaberg, VC",2024-06-30,Large,"Scikit-learn, MLflow, FastAPI",50054,60639
Gomez PLC,E-commerce,ML Engineer,"R, Scikit-learn, Power BI",Senior,Internship,"Stevenshire, BE",2025-04-05,Startup,MLflow,84367,161104
Rogers-Shaw,E-commerce,ML Engineer,"Pandas, LangChain, Python, Keras",Senior,Internship,"Ginafurt, PW",2025-01-13,Startup,"KDB+, Scikit-learn, TensorFlow",106747,192008
Gardner-Murphy,Education,NLP Engineer,"Hugging Face, R, Azure, Power BI, Excel",Senior,Full-time,"Phillipsmouth, BE",2024-01-16,Startup,"LangChain, FastAPI",134658,192987
"Brooks, Morales and Parker",Automotive,Quant Researcher,"Pandas, FastAPI, Hugging Face, PyTorch, Power BI",Senior,Full-time,"South Chelseamouth, MR",2024-08-25,Startup,LangChain,67982,80867
"Harrison, Nelson and Butler",Tech,Data Analyst,"GCP, Pandas, FastAPI, C++, Excel",Entry,Internship,"North Darren, PG",2025-06-25,Mid,"FastAPI, MLflow",66502,125569
"Boyd, Manning and Smith",E-commerce,ML Engineer,"Excel, Pandas, CUDA",Mid,Full-time,"Walshmouth, EG",2024-10-28,Startup,PyTorch,129492,154474
Morgan Group,E-commerce,Data Scientist,"Reinforcement Learning, Hugging Face, Pandas, Excel",Mid,Contract,"East Robertbury, PS",2025-05-02,Startup,"FastAPI, PyTorch",46778,126259
"Sutton, Rivera and Mcintyre",Education,Data Scientist,"Reinforcement Learning, LangChain, C++",Entry,Internship,"Port Briannaview, MM",2025-09-07,Startup,"LangChain, FastAPI",95581.5,151635
Lee Inc,Education,AI Product Manager,"FastAPI, Excel, AWS, LangChain, Python",Entry,Contract,"Bradshawport, TW",2024-10-25,Startup,"KDB+, MLflow",81090,99269
Clark-Stevens,Tech,NLP Engineer,"Power BI, C++, R",Senior,Contract,"Port Isabellaport, BB",2024-01-17,Startup,BigQuery,134343,205844
Young LLC,Education,Computer Vision Engineer,"C++, Hugging Face, Flask, Python, NumPy, Scikit-learn",Senior,Full-time,"South Evan, ZM",2024-02-12,Large,"Scikit-learn, FastAPI, LangChain",72912,155169
Shaffer Inc,Education,Data Scientist,"FastAPI, Azure, TensorFlow",Mid,Internship,"West Adammouth, MZ",2024-06-08,Mid,TensorFlow,123639,216071
"Powers, Lee and Graves",Healthcare,NLP Engineer,"MLflow, Reinforcement Learning, Python",Mid,Internship,"North Cindy, CZ",2025-08-18,Mid,"PyTorch, TensorFlow",71107,88278
Williams-White,Tech,ML Engineer,"CUDA, R, Reinforcement Learning",Entry,Full-time,"Amyside, CH",2025-02-09,Startup,"MLflow, PyTorch, KDB+",95581.5,151635
Smith-Green,Finance,Data Analyst,"Python, AWS, FastAPI",Entry,Full-time,"East Mariahberg, NL",2024-08-18,Startup,FastAPI,95581.5,151635
Miller and Sons,Tech,AI Researcher,"MLflow, AWS, SQL, Python",Mid,Full-time,"North Michele, BZ",2024-01-03,Mid,"TensorFlow, FastAPI",132842,146986
Thomas-Howell,Education,Data Scientist,"MLflow, Azure, Python",Senior,Internship,"Matthewshire, HN",2023-12-19,Mid,"TensorFlow, KDB+",61018,136143
"Velez, Foley and Walker",E-commerce,Quant Researcher,"Excel, Flask, Power BI, PyTorch, SQL, CUDA",Senior,Internship,"Lake Joseph, SN",2024-08-21,Mid,"LangChain, BigQuery, FastAPI",129013,194851
Mccoy Group,Tech,ML Engineer,"Scikit-learn, AWS, CUDA, Azure, Hugging Face",Senior,Full-time,"North Tamara, SM",2024-10-16,Startup,"FastAPI, TensorFlow, LangChain",53336,98757
Hall Ltd,E-commerce,NLP Engineer,"LangChain, Python, AWS, R, Keras",Entry,Remote,"Jamesview, HT",2025-05-31,Startup,"LangChain, BigQuery",60072,132524
Dixon-Sanchez,Tech,AI Product Manager,"Excel, Azure, Pandas, PyTorch, SQL",Mid,Remote,"Adamsshire, AZ",2025-05-21,Startup,"PyTorch, TensorFlow, KDB+",95822,165764
Goodman and Sons,Automotive,Data Scientist,"NumPy, Excel, LangChain",Entry,Contract,"Zacharyfurt, ST",2024-10-21,Mid,"MLflow, Scikit-learn, FastAPI",123940,205534
"Garcia, Moss and Mccormick",Tech,Quant Researcher,"TensorFlow, Flask, NumPy, GCP",Mid,Internship,"New Bettyborough, GR",2024-02-16,Mid,TensorFlow,93765,164272
Mccullough-Fields,Healthcare,AI Researcher,"Hugging Face, Flask, Pandas, Scikit-learn",Senior,Remote,"Georgeview, LB",2024-07-31,Mid,"BigQuery, MLflow",107143,125166
"Green, Stewart and Nelson",Healthcare,AI Researcher,"Python, Pandas, R, Scikit-learn",Entry,Internship,"Carmenbury, TV",2025-09-02,Large,"LangChain, TensorFlow, BigQuery",78028,167608
Montgomery and Sons,Tech,Computer Vision Engineer,"Excel, TensorFlow, Azure, Reinforcement Learning",Entry,Contract,"New Josemouth, KE",2024-04-11,Large,"BigQuery, FastAPI",65169,83971
Fuentes LLC,E-commerce,Data Analyst,"Hugging Face, Keras, FastAPI, Power BI",Senior,Contract,"Lake Christophershire, UZ",2025-01-29,Startup,"LangChain, PyTorch, MLflow",70715,133242
Farmer-Higgins,Education,Data Analyst,"Reinforcement Learning, Pandas, AWS",Senior,Internship,"East Cindy, IL",2024-04-17,Mid,"FastAPI, KDB+, BigQuery",119460,194399
Lyons-Dunlap,Education,NLP Engineer,"Keras, Python, PyTorch, GCP, C++",Mid,Internship,"Jamesshire, BN",2024-08-03,Large,"Scikit-learn, TensorFlow, PyTorch",91699,163503
"Moore, Whitney and Davis",Tech,ML Engineer,"PyTorch, Flask, CUDA, NumPy, AWS, SQL",Senior,Full-time,"East Jamie, BO",2025-06-01,Startup,"Scikit-learn, PyTorch, FastAPI",67161,112365
Glass and Sons,Healthcare,NLP Engineer,"LangChain, TensorFlow, Azure",Mid,Internship,"Jenniferfurt, RO",2023-10-12,Large,"MLflow, BigQuery",106546,185690
Gaines Ltd,Tech,Quant Researcher,"TensorFlow, FastAPI, PyTorch, Hugging Face, Pandas",Mid,Full-time,"Jacquelineville, GE",2024-11-29,Mid,"TensorFlow, LangChain, Scikit-learn",95581.5,151635
Garcia-Cannon,Education,AI Product Manager,"Keras, NumPy, R, LangChain, Reinforcement Learning",Entry,Contract,"Port Shannon, TV",2025-03-09,Startup,"KDB+, BigQuery",109614,173616
"Robbins, Luna and Wiggins",Education,Data Analyst,"SQL, LangChain, MLflow, AWS, Reinforcement Learning",Mid,Contract,"Tonyburgh, BO",2023-12-12,Startup,MLflow,123263,202960
Green-Poole,Retail,Data Analyst,"Flask, LangChain, FastAPI",Senior,Full-time,"Lake Timothyville, LB",2025-02-24,Startup,"FastAPI, BigQuery, MLflow",40293,110748
Shaw-Bell,Education,Quant Researcher,"LangChain, SQL, Reinforcement Learning",Senior,Internship,"Rodriguezfort, NZ",2024-10-16,Startup,"PyTorch, LangChain, KDB+",95581.5,151635
"Mason, Gonzalez and Miller",E-commerce,NLP Engineer,"Power BI, AWS, TensorFlow, Keras, CUDA, Pandas",Mid,Internship,"Garciamouth, DE",2025-05-23,Mid,"KDB+, Scikit-learn",136999,162930
Carroll-Carroll,Finance,AI Researcher,"Power BI, Pandas, CUDA",Mid,Remote,"Lake Andrewbury, ZA",2023-12-03,Large,TensorFlow,140731,235582
"Fisher, Davis and Kelly",Finance,ML Engineer,"Pandas, GCP, Hugging Face",Entry,Full-time,"North Kevin, VA",2023-10-20,Large,"LangChain, BigQuery",108142,206901
Hughes Ltd,Automotive,Quant Researcher,"AWS, Power BI, MLflow, Python, GCP",Entry,Internship,"East Lisa, GY",2024-01-11,Large,"MLflow, LangChain, BigQuery",92863,113996
Mcneil Ltd,Education,Data Analyst,"Pandas, R, AWS, PyTorch",Senior,Full-time,"Brandonshire, MU",2024-11-17,Large,LangChain,49202,142011
"Clark, Garcia and Smith",Education,ML Engineer,"Hugging Face, Python, Pandas",Entry,Contract,"East Laurenland, UA",2023-12-27,Startup,"FastAPI, Scikit-learn, PyTorch",117905,154963
